Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто,Адреса,Телефон,Email
Барабаш,Микита,Богданович,Ч,1998-10-21,Державний службовець,селище Прилуки,"вулиця Станційна 2-га, буд. 19 кв. 7, Маріуполь, 54551",056 886 34 22,usimashkevych@example.net
Закусило,Лукʼян,Тарасович,Ч,2003-11-03,Паблік рилейшнз,місто Лебедин,"сквер Яна Длугоша, буд. 7 кв. 3, Горлівка, 80018",013 354 94 58,waleksandrenko@example.net
Ніколюк,Ігор,Петрович,Ч,1994-06-29,Фотограф,селище Горішні Плавні,"вулиця Абрикосова, буд. 1, Оріхів, 37604",547-78-29,bivanenko@example.org
Лесик,Лесь,Дмитрович,Ч,1997-11-21,Флорист,селище Роздільна,"вулиця Яші Гордієнка, буд. 032 кв. 4, Горішні Плавні, 11417",+380 (97) 365-27-91,marta70@example.com
Стельмах,Макар,Богданович,Ч,1966-08-22,Драматург,селище Городок,"сквер Нафтовиків, буд. 94, Мерефа, 21137",+380 18 980-95-00,mderiazhnyi@example.net
Абрагамовська,Єлисавета,Олександрівна,Ж,1996-07-24,Вчитель,селище Чистякове,"шосе Штурманська, буд. 0 кв. 76, Долина, 05369",244 80 91,ostap83@example.org
Полтавець,Володимира,Андріївна,Ж,1965-08-29,Сценарист,хутір Заводське,"набережна Лютневий 1-й, буд. 6, Радомишль, 39243",951 51 27,leontii99@example.net
Ковалюк,Михайло,Петрович,Ч,1974-08-20,Мікробіолог,хутір Угнів,"провулок Аптекарський, буд. 612 кв. 56, Валки, 11061",250-97-07,usirchenko@example.com
Єресько,Орина,Ігорівна,Ж,2005-07-09,Доцент,місто Єнакієве,"набережна Свободи, буд. 59 кв. 49, Армянськ, 43554",028 604 17 66,bkonoplia@example.org
Саченко,Віктор,Андрійович,Ч,1996-07-10,Слідчий,село Сокаль,"узвіз Опішнянський, буд. 2, Жидачів, 82886",+380 53 297 04 79,mykyta46@example.net
Теличенко,Олена,Олегівна,Ж,2010-06-16,Медик,місто Сновськ,"сквер Сінна, буд. 71 кв. 62, Єнакієве, 11879",047 684-83-24,viakymenko@example.org
Рудик,Дмитро,Васильович,Ч,1962-10-03,Модельєр,селище Дубно,"сквер Олександра Кошиця, буд. 883, Заводське, 58100",077 08 16,marta17@example.net
Щербак,Марʼяна,Тарасівна,Ж,1946-04-16,Конструктор,село Буськ,"площа Північна, буд. 15 кв. 340, Таврійськ, 74300",087 61 21,avreliikolesnychenko@example.org
Артимишин,Дан,Тарасович,Ч,2007-04-03,Композитор,місто Тростянець,"вулиця Студентський, буд. 358 кв. 59, Володимир-Волинський, 82076",059 295-10-50,fmakarenko@example.com
Терещенко,Леонід,Ігорович,Ч,1961-05-17,Фізик,хутір Лохвиця,"парк 21-й км Старокиївської дороги, буд. 8, Петрово-Красносілля, 67647",181-01-83,zakhariefymenko@example.net
Слюсар,Борислав,Миколайович,Ч,2005-10-23,Конструктор,місто Жашків,"сквер Скрипковий, буд. 6, Миргород, 43464",048 824 13 43,iaroslavzarudnyi@example.org
Цюпа,Богодар,Богданович,Ч,1957-05-15,Хімік,місто Покров,"проспект 8-ма Лінія 6-й ст. Люстдорфської дороги, буд. 61 кв. 2, Петрово-Красносілля, 68086",+380 (03) 414-15-93,darynakybkalo@example.org
Рябовіл,Прохір,Євгенович,Ч,2002-11-01,Етнограф,хутір Старобільськ,"шосе Сортувальна 1-ша, буд. 4 кв. 10, Глиняни, 19112",+380 63 709 02 58,andriialeksiuk@example.net
Єфименко,Амалія,Олександрівна,Ж,1980-12-09,Редактор,селище Чигирин,"проспект Лінія 52-га, буд. 71, Кремінна, 24627",+380 (67) 563-40-53,khrystynaieremenko@example.net
Захарченко,Єлисей,Васильович,Ч,2008-03-20,Паралегал,село Барвінкове,"узвіз Шебелінський, буд. 49 кв. 6, Хмельницький, 14192",+380 78 597-75-43,volodymyrapiddubnyi@example.org
Рябовіл,Опанас,Іванович,Ч,1986-10-28,Режисер,село Бережани,"провулок Світла, буд. 00, Сімферополь, 36749",092 048 99 78,violettamedvedenko@example.org
Тесленко,Валентина,Степанівна,Ж,2011-01-13,Агроном,місто Приморськ,"проспект Китобійний 1-й, буд. 01 кв. 4, Тетіїв, 06622",+380 (34) 506-84-70,ushchyrytsia@example.org
Левченко,Наталія,Юріївна,Ж,1972-08-04,Конструктор,селище Зугрес,"площа Артилерійська, буд. 88, Обухів, 91666",+380 37 124-90-98,xhaidabura@example.net
Усик,Владислав,Олегович,Ч,1981-11-19,Гірничий інженер,селище Моспине,"проспект Північна, буд. 8 кв. 9, Хмільник, 16769",781 27 58,venedykt62@example.com
Саєнко,Орина,Романівна,Ж,2011-03-20,Бібліограф,селище Березівка,"вулиця Берегова, буд. 83, Миколаївка, 20177",047 770 43 79,shevchenkomakar@example.net
Теличенко,Орися,Тарасівна,Ж,2004-06-14,Стропальник,селище Перемишляни,"шосе Аптекарський, буд. 4, Сквира, 77810",+380 80 875 71 44,habelkoanton@example.com
Чорновіл,Орхип,Олександрович,Ч,1948-09-05,Флорист,хутір Чортків,"набережна Покровський, буд. 11, Семенівка, 89925",+380 (78) 543-70-44,hutsuliakprokhir@example.net
Михалюк,Богуслав,Вікторович,Ч,2004-07-04,Доцент,хутір Глобине,"проспект Юрія Єгорова, буд. 76, Самбір, 30340",+380 01 603-79-84,aieromenko@example.net
Алексійчук,Едита,Андріївна,Ж,1979-02-05,Прокурор,село Перемишляни,"провулок Ключовий 1-й, буд. 299 кв. 1, Болград, 84960",024 217 20 74,emiliiakozachenko@example.org
Козак,Тимофій,Григорович,Ч,1951-11-20,Фармацевт,місто Радивилів,"узвіз Проектований 4-й, буд. 19, Рівне, 01895",+380 (45) 778-45-51,hryhorii50@example.org
Оробець,Ілля,Олександрович,Ч,1976-07-26,Ґрунтознавець,місто Нове Давидково,"площа Балтиморська, буд. 99, Косів, 26396",081 780-57-48,wromanchuk@example.net
Вітрук,Софія,Олегівна,Ж,1961-08-08,Секретар,місто Херсон,"вулиця Бугаївська, буд. 8, Ізмаїл, 28219",+380 83 473 26 16,ievtushokboryslav@example.com
Терещенко,Трохим,Ігорович,Ч,1988-02-16,Стиліст,хутір Узин,"провулок Андрія Гулого-Гуленка, буд. 79 кв. 10, Сокаль, 84589",137-76-00,iradchenko@example.com
Фастенко,Борис,Вікторович,Ч,1999-04-27,Модель,хутір Верхньодніпровськ,"сквер Кременецький, буд. 089 кв. 52, Щолкіне, 45554",+380 73 627-65-30,sliusarmaryna@example.net
Корж,Роксолана,Григорівна,Ж,1971-04-30,Педагог,село Бучач,"набережна Евлії Челебі, буд. 942 кв. 82, Куп'янськ, 14715",006 028-55-32,milenaostapchuk@example.net
Закусило,Ірина,Григорівна,Ж,1985-02-10,Математик,селище Коломия,"площа Караїмська, буд. 0, Таврійськ, 93820",+380 72 245-50-18,andriihupalo@example.net
Артюшенко,Ігор,Миколайович,Ч,1983-03-08,Соціолог,хутір Бурштин,"проспект Травневий 1-й, буд. 084 кв. 89, Гірник, 51816",462 53 94,xshcherbak@example.net
Макогон,Ольга,Максимівна,Ж,2003-06-18,Круп'є,хутір Угнів,"набережна Кришталева, буд. 97 кв. 75, Нове Давидково, 79108",854 39 20,ievhen24@example.org
Чубай,Пармен,Юрійович,Ч,2010-04-22,Кушнір,хутір Заставна,"парк Айвазовського, буд. 13, Вашківці, 75060",+380 47 549-16-82,babarychenkoamaliia@example.net
Кальченко,Назар,Григорович,Ч,1955-08-30,Складальник,хутір Шпола,"провулок Металістів, буд. 372, Покровськ, 94304",118 34 67,danchenkoiukhym@example.net
Гуцуляк,Анжела,Романівна,Ж,1984-02-04,Графік,селище Умань,"сквер Скліфосовського, буд. 84, Дергачі, 43656",969 49 72,anastasiia49@example.org
Чаленко,Ігнат,Максимович,Ч,1992-04-24,Випробувач,село Бар,"проспект Набережна, буд. 03 кв. 395, Путивль, 61906",074 642 23 84,xkalchenko@example.net
Доценко,Йосип,Дмитрович,Ч,1950-09-20,Громадський діяч,село Лозова,"площа Сільська, буд. 9 кв. 825, Ямпіль, 20848",+380 (15) 375-39-94,albert02@example.com
Гайдамака,Тарас,Олександрович,Ч,1954-06-10,Льотчик,місто Вишневе,"узвіз Світла, буд. 34 кв. 5, Сокиряни, 86653",025 11 32,oleksapetrenko@example.com
Корпанюк,Охрім,Миколайович,Ч,1950-08-19,Хімік,селище Винники,"проспект Бодаревського, буд. 205, Сновськ, 67518",+380 78 778 72 35,konopliasnizhana@example.com
Мамчур,Степан,Юрійович,Ч,1974-04-25,Фотограф,хутір Кагарлик,"парк Астрономічний, буд. 77, Угнів, 24929",043-84-57,vasylechkorozaliia@example.org
Мамчур,Валерій,Леонідович,Ч,2011-03-14,Ріелтор,хутір Андрушівка,"площа Лазурний 3-й, буд. 91 кв. 63, Гребінка, 76291",574 75 90,wvakarchuk@example.org
